,record_date,notif_number,sent_num,failed_num
0,2019-01-10,6.0,6.0,0.0
1,2019-01-11,7.0,7.0,0.0
2,2019-01-12,1.0,1.0,0.0
3,2019-01-15,6.0,5.0,1.0
4,2019-01-16,8.0,7.0,1.0
5,2019-01-17,23.0,22.0,1.0
6,2019-01-18,38.0,37.0,1.0
7,2019-01-19,23.0,22.0,1.0
8,2019-01-20,25.0,25.0,0.0
9,2019-01-21,29.0,29.0,0.0
10,2019-01-22,17.0,17.0,0.0
11,2019-01-23,4.0,4.0,0.0
12,2019-01-24,21.0,21.0,0.0
13,2019-01-25,43.0,43.0,0.0
14,2019-01-26,45.0,45.0,0.0
15,2019-01-27,53.0,53.0,0.0
16,2019-01-28,50.0,50.0,0.0
17,2019-01-29,58.0,58.0,0.0
18,2019-01-30,64.0,63.0,1.0
19,2019-01-31,57.0,56.0,1.0
20,2019-02-01,48.0,46.0,2.0
21,2019-02-02,46.0,46.0,0.0
22,2019-02-03,62.0,60.0,2.0
23,2019-02-04,66.0,63.0,3.0
24,2019-02-05,49.0,48.0,1.0
25,2019-02-06,122.0,118.0,4.0
26,2019-02-07,162.0,157.0,5.0
27,2019-02-08,122.0,120.0,2.0
28,2019-02-09,68.0,67.0,1.0
29,2019-02-10,10.0,10.0,0.0
30,2019-02-11,2.0,2.0,0.0
31,2019-02-12,1.0,1.0,0.0
32,2019-03-06,324.0,304.0,20.0
33,2019-03-07,321.0,253.0,68.0
34,2019-03-08,180.0,27.0,153.0
35,2019-03-09,118.0,6.0,112.0
36,2019-03-10,305.0,0.0,305.0
37,2019-03-11,388.0,0.0,388.0
38,2019-03-12,183.0,1.0,182.0
39,2019-03-13,326.0,0.0,326.0
40,2019-03-14,402.0,0.0,402.0
41,2019-03-15,239.0,0.0,239.0
42,2019-03-16,366.0,0.0,366.0
43,2019-03-17,441.0,0.0,441.0
44,2019-03-18,268.0,0.0,268.0
45,2019-03-19,419.0,0.0,419.0
46,2019-03-20,492.0,0.0,492.0
47,2019-03-21,324.0,0.0,324.0
48,2019-03-22,244.0,119.0,125.0
49,2019-03-23,418.0,401.0,17.0
50,2019-03-24,289.0,284.0,5.0
51,2019-03-25,175.0,175.0,0.0
52,2019-03-26,399.0,398.0,1.0
53,2019-03-27,291.0,291.0,0.0
54,2019-03-28,68.0,68.0,0.0
55,2019-03-29,11.0,11.0,0.0
56,2019-03-30,3.0,3.0,0.0
57,2019-03-31,1.0,1.0,0.0
58,2019-04-19,54.0,54.0,0.0
59,2019-04-20,66.0,65.0,1.0
60,2019-04-21,36.0,36.0,0.0
61,2019-04-22,19.0,19.0,0.0
62,2019-04-23,41.0,41.0,0.0
63,2019-04-24,58.0,58.0,0.0
64,2019-04-25,55.0,54.0,1.0
65,2019-04-26,39.0,39.0,0.0
66,2019-04-27,37.0,37.0,0.0
67,2019-04-28,41.0,41.0,0.0
68,2019-04-29,46.0,45.0,1.0
69,2019-04-30,37.0,37.0,0.0
70,2019-05-01,49.0,48.0,1.0
71,2019-05-02,44.0,44.0,0.0
72,2019-05-03,49.0,49.0,0.0
73,2019-05-04,20.0,20.0,0.0
74,2019-05-05,5.0,5.0,0.0
75,2019-05-06,1.0,1.0,0.0
76,2019-05-09,80.0,80.0,0.0
77,2019-05-10,87.0,87.0,0.0
78,2019-05-11,31.0,31.0,0.0
79,2019-05-12,26.0,26.0,0.0
80,2019-05-13,53.0,53.0,0.0
81,2019-05-14,64.0,64.0,0.0
82,2019-05-15,44.0,44.0,0.0
83,2019-05-16,32.0,32.0,0.0
84,2019-05-17,43.0,42.0,1.0
85,2019-05-18,54.0,52.0,2.0
86,2019-05-19,45.0,43.0,2.0
87,2019-05-20,32.0,30.0,2.0
88,2019-05-21,8.0,7.0,1.0
89,2019-05-22,1.0,1.0,0.0
90,2019-05-23,1.0,1.0,0.0
91,2019-05-24,84.0,83.0,1.0
92,2019-05-25,83.0,83.0,0.0
93,2019-05-26,36.0,36.0,0.0
94,2019-05-27,17.0,17.0,0.0
95,2019-05-28,79.0,27.0,52.0
96,2019-05-29,80.0,26.0,54.0
97,2019-05-30,41.0,20.0,21.0
98,2019-05-31,34.0,27.0,7.0
99,2019-06-01,41.0,37.0,4.0
100,2019-06-02,24.0,23.0,1.0
101,2019-06-03,33.0,20.0,13.0
102,2019-06-04,46.0,35.0,11.0
103,2019-06-05,35.0,31.0,4.0
104,2019-06-06,15.0,14.0,1.0
105,2019-06-07,1.0,1.0,0.0
106,2019-06-08,40.0,39.0,1.0
107,2019-06-09,37.0,36.0,1.0
108,2019-06-10,25.0,25.0,0.0
109,2019-06-11,27.0,27.0,0.0
110,2019-06-12,31.0,31.0,0.0
111,2019-06-13,30.0,10.0,20.0
112,2019-06-14,45.0,1.0,44.0
113,2019-06-15,69.0,1.0,68.0
114,2019-06-16,83.0,46.0,37.0
115,2019-06-17,54.0,47.0,7.0
116,2019-06-18,49.0,45.0,4.0
117,2019-06-19,45.0,45.0,0.0
118,2019-06-20,44.0,34.0,10.0
119,2019-06-21,82.0,73.0,9.0
120,2019-06-22,79.0,74.0,5.0
121,2019-06-23,66.0,65.0,1.0
122,2019-06-24,69.0,63.0,6.0
123,2019-06-25,81.0,74.0,7.0
124,2019-06-26,73.0,69.0,4.0
125,2019-06-27,59.0,58.0,1.0
126,2019-06-28,25.0,25.0,0.0
127,2019-06-29,10.0,9.0,1.0
128,2019-06-30,14.0,13.0,1.0
129,2019-07-01,33.0,33.0,0.0
130,2019-07-02,121.0,116.0,5.0
131,2019-07-03,104.0,99.0,5.0
132,2019-07-04,61.0,55.0,6.0
133,2019-07-05,73.0,64.0,9.0
134,2019-07-06,57.0,54.0,3.0
135,2019-07-07,79.0,72.0,7.0
136,2019-07-08,75.0,69.0,6.0
137,2019-07-09,68.0,59.0,9.0
138,2019-07-10,73.0,67.0,6.0
139,2019-07-11,51.0,48.0,3.0
140,2019-07-12,80.0,73.0,7.0
141,2019-07-13,76.0,75.0,1.0
142,2019-07-14,82.0,78.0,4.0
143,2019-07-15,60.0,54.0,6.0
144,2019-07-16,56.0,53.0,3.0
145,2019-07-17,68.0,62.0,6.0
146,2019-07-18,76.0,69.0,7.0
147,2019-07-19,75.0,67.0,8.0
148,2019-07-20,76.0,68.0,8.0
149,2019-07-21,42.0,39.0,3.0
150,2019-07-22,40.0,40.0,0.0
151,2019-07-23,78.0,75.0,3.0
152,2019-07-24,62.0,58.0,4.0
153,2019-07-25,34.0,33.0,1.0
154,2019-07-26,56.0,52.0,4.0
155,2019-07-27,79.0,76.0,3.0
156,2019-07-28,27.0,27.0,0.0
157,2019-07-29,15.0,15.0,0.0
158,2019-07-30,64.0,61.0,3.0
159,2019-07-31,71.0,67.0,4.0
160,2019-08-01,66.0,65.0,1.0
161,2019-08-02,32.0,28.0,4.0
162,2019-08-03,44.0,39.0,5.0
163,2019-08-04,614.0,427.0,187.0
164,2019-08-05,297.0,240.0,57.0
165,2019-08-06,99.0,80.0,19.0
166,2019-08-07,655.0,333.0,322.0
167,2019-08-08,299.0,159.0,140.0
168,2019-08-09,211.0,71.0,140.0
169,2019-08-10,642.0,358.0,284.0
170,2019-08-11,556.0,316.0,240.0
171,2019-08-12,217.0,125.0,92.0
172,2019-08-13,141.0,90.0,51.0
173,2019-08-14,172.0,74.0,98.0
174,2019-08-15,173.0,30.0,143.0
175,2019-08-16,122.0,61.0,61.0
176,2019-08-17,456.0,102.0,354.0
177,2019-08-18,305.0,86.0,219.0
178,2019-08-19,373.0,208.0,165.0
179,2019-08-20,332.0,206.0,126.0
180,2019-08-21,193.0,129.0,64.0
181,2019-08-22,292.0,221.0,71.0
182,2019-08-23,186.0,108.0,78.0
183,2019-08-24,276.0,105.0,171.0
184,2019-08-25,253.0,186.0,67.0
185,2019-08-26,150.0,120.0,30.0
186,2019-08-27,80.0,60.0,20.0
