user_id,birth_year,record_date,plan,attributes_notifications_marketing_push,attributes_notifications_marketing_email,num_contacts,num_referrals,num_successful_referrals
user_0,1989,2019-01-13 05:15:15.599466,STANDARD,1.0,1.0,3,0,0
user_1,1975,2019-01-29 03:38:46.676876,STANDARD,,,21,0,0
user_2,1987,2019-01-18 19:17:31.229096,STANDARD,0.0,0.0,21,0,0
user_3,1994,2019-01-15 18:47:56.723104,STANDARD,1.0,0.0,0,0,0
user_4,1985,2019-01-11 00:36:46.673673,STANDARD,,,2,0,0
user_5,1993,2019-01-04 17:45:03.907804,STANDARD,,,0,0,0
user_6,1978,2019-01-24 19:04:50.876183,STANDARD,,,0,0,0
user_7,1989,2019-01-11 19:11:45.757486,STANDARD,1.0,1.0,0,0,0
user_8,1981,2019-01-03 07:28:59.063740,STANDARD,,,0,0,0
user_9,1965,2019-01-09 10:21:19.452972,PREMIUM,,,32,0,0
user_10,1980,2019-01-04 08:05:15.466282,STANDARD,1.0,1.0,38,0,0
user_11,1984,2019-01-11 00:25:57.834355,STANDARD,1.0,1.0,0,0,0
user_12,1991,2019-01-30 16:08:37.788837,STANDARD,,,0,0,0
user_13,1995,2019-01-28 16:56:16.221271,STANDARD,1.0,1.0,10,0,0
user_14,1970,2019-01-26 17:33:52.428116,STANDARD,1.0,1.0,0,0,0
user_15,1994,2019-01-22 07:32:46.195161,STANDARD,,,2,0,0
user_16,1982,2019-01-23 21:36:40.004966,STANDARD,1.0,1.0,4,0,0
user_17,1996,2019-01-08 04:18:47.595266,STANDARD,,,0,0,0
user_18,1956,2019-01-16 14:28:49.549443,STANDARD,,,0,0,0
user_19,1986,2019-01-02 18:53:24.808455,STANDARD,1.0,1.0,77,0,0
user_20,1992,2019-01-09 11:00:28.509253,STANDARD,1.0,0.0,16,0,0
user_21,1993,2019-01-29 17:19:28.113085,STANDARD,1.0,1.0,12,0,0
user_22,1986,2019-01-09 23:05:53.700403,STANDARD,,,5,0,0
user_23,1974,2019-01-07 23:30:05.867064,STANDARD,1.0,1.0,0,0,0
user_24,1989,2019-01-24 11:49:53.016702,STANDARD,1.0,1.0,0,0,0
user_25,1979,2019-01-08 03:58:20.891280,STANDARD,,,0,0,0
user_26,1994,2019-01-12 21:47:35.233077,STANDARD,,,39,0,0
user_27,1995,2019-01-28 03:26:25.208560,STANDARD,1.0,1.0,1,0,0
user_28,1966,2019-01-03 22:46:33.632126,STANDARD,1.0,1.0,0,0,0
user_29,1990,2019-01-30 19:27:21.271275,STANDARD,,,23,0,0
user_30,1986,2019-01-13 09:24:58.996438,PREMIUM,1.0,1.0,8,0,0
